"Title","Main Image","Object ID#","Category","Student","Author/Creator","Date","Associated Place","Collection","Held At","Medium","Size","Description","Image Ready for Gibson"
"Trade Sign",,"1915-21-0","Trade Signs","Luke Lewis/Owner",,"ca. 1800","Litchfield, CT",,"Litchfield Historical Society","wood, paint","63"" length x 21 1/2"" width","Trade sign, large rectangular wooden sign, painted black with gold lettering: ""Luke Lewis / (Drug)gist Grocer Co"" an image of mortar and pestle between the words.  Simple molding on two sides.  Sign has been cut down slightly, some letters/words are missing.","Yes"
"Trinket Box",,"ca1900-28-3","Clothing & Personal Accessories","Hannah Beach Van Winkle/Gift Giver; Jane Jackson Fisher/Gift Recipient",,1830,,,"Litchfield Historical Society","glass, embossed gold paper, cardboard","3 1/2"" length x 2 5/8"" width x 3/4"" height","Box made in shape of a small book, with folding lid, the lid having a mirror inside.  The cover is glass, bound with embossed gold paper.  Has image of man in 17th century cap, fur trimmed coat, boots; reverse wreath surrounding a cup.  Chartreuse paper lining.  In corner of inside bottom initials ""H.B."" on folded slip of paper inside is written ""From Hannah Beach to Jane Jackson at Litchfield School parting 1830 - Room mates - all three""","Yes"
"Trinket Box",,"ca1900-28-4","Clothing & Personal Accessories","Amelia C. Hills/Gift Giver; Jane Jackson Fisher/Gift Recipient",,1830,,,"Litchfield Historical Society","glass, embossed gold paper, cardboard","3 1/2"" length x 2 5/8"" width x 3/4"" height","Box made in shape of small book, with folding lid, the lid having a mirror inside.  The cover is glass, bound with embossed gold paper.   Has image of soldier with plumed helmet, shield and dagger.  Obverse classical motif.  Inside on bottom is written ""Amelia"" Slip of folded paper inside on which is written ""From Amelia Hill to Jane Jackson at Litchfield school parting 1830.  Room mates - all three"" Lined with pink paper.","Yes"
"Uriah Tracy","Main Image","1911-21-0","Images of People","Uriah Tracy/Portrait of","Ralph Earl (1751-1801)",1790,"Litchfield, CT",,"Litchfield Historical Society","Oil on canvas","80"" length x 57"" width","Full length oil on canvas portrait of Uriah Tracy (1755-1807), standing with right hand on hip, left hand resting on upright book that is on table that is covered in green felt cloth.  Bookcase in righ background, drapery to left. Wearing black satin breeches, waistcoat and jacket, and a white shirt with ruffled placket and cuffs. ","Yes"
"Vase",,"1909-10-1","Household Accessories","Sarah Pierce/Owner",,"early 19th century",,,"Litchfield Historical Society","glazed earthenware","4 1/2"" high ","Decorative vase with brown matte glaze.  Body has ring base with full body and concave neck.  Decorated with large applied leaves and flowers with two 8-shaped handles.  Lip has 4 scallops.  ","Yes"
"Vase",,"1909-10-2","Household Accessories","Sarah Pierce/Owner",,"early 19th century",,,"Litchfield Historical Society","glazed earthenware","4"" high","Decorative vase with brown matte glaze.  Body has ring base with full body and concave neck.  Decorated with grape leaves and vine decorations.  2 handles like twisted vines.  Rim has 6 scallops.  ","Yes"
"View of Quebec from Point Levi",,"1922-06-4","Made by Students","Maryann Bacon Whittlesey/Maker","Maryann Bacon Whittlesey (1787-1869)","ca. 1802-1810","Litchfield, CT",,"Litchfield Historical Society","watercolor on paper","14 1/2"" length x 20 3/4"" width","Watercolor on paper landscape bucolic scene titled ""View of Quebec from Point Levi.""  This painting strongly resembles the engraving of the same title by William Strickland.  Foreground shows grazing cattle and all manner of vegetation.  There are clouds in the sky.  The execution of the buildings and landscape in the middleground is faithful to the print source.  Landscape is split in the center by a bay of water.  Buildings in far foreground with boats and people in near foreground.  Framed under glass with eglomise border in black and gold.  Along bottom of eglomise in gold lettering ""View of Quebec from Point Levi"" in center and ""by Mary Bacon"" at bottom right hand corner.  ","Yes"
"View of Quebec from the Opposite Shore",,"1922-06-5","Made by Students","Maryann Bacon Whittlesey/Maker","Maryann Bacon Whittlesey (1787-1869)","ca. 1802-1810","Litchfield, CT",,"Litchfield Historical Society","watercolor on paper","14"" length x 21"" width","Watercolor on paper landscape based on ca. 1805 engraving of George Heriot's ""View of the City of Quebec, taken from the North Banks of the Saint Charles.""  The cityscape, fort and bridge in background are faithful to the print but the landscape in the foreground with its New England country pasture, buildings and allegorical figure representations differs from the print source.  
There are a series of hillocks in various shades of green rendered in dry brush technique on which are resting sheep and cows whose anatomy is distorted.  On the left under a tree, behind a white clapboard house with 12 over 12 sash sits a female figure holding a quill pen in her right hand.  Her right elbow rests on a large book.  Her left hand, holding a garland, is outstretched towards a bee skep around which the garland winds.  The artist herself is pictured at the extreme right sitting at a study table by a rose busy.  A dog, resembling a wolf, is near her feet.  Framed under glass.","Yes"
"Wall Pocket",,"ca1900-15-1","Made by Students","Mary Wallace Peck/Maker","Mary Wallace Peck","1811-1816","Litchfield, CT",,"Litchfield Historical Society","cardboard, ribbon, paint","8 1/2"" length x 6 1/2"" width","Scroll bottom with flared vase-shaped sides, diverging leaf form top with shell-shaped finial.  Gilt leaf work at bottom, leaf handle sides and shell top.  All edged in gilt.  The attached center front of pocket is oval with upturned rounded ends tied with blue ribbon to the back.  Paper: Ecru with musical instruments in floral swaging.  Plain back.","Yes"
"Wallet",,"1954-25-11","Tools of a Profession","Anson Bates/Owner","Erastus A. Lord (1792-1860)","ca. 1820","Litchfield, CT",,"Litchfield Historical Society","leather","7 1/2"" length x 3 1/2"" width","Man's tri-fold wallet or pocket book, with wrap around tie. Shaped front flap, long tie is missing, opening to two single pockets, one pocket with two divider flaps.  Stamped inside one pocket: ""E. A. LORD / MAKER / LITCHFIELD, CONT"" inside a dotted oval.  ","Yes"
"Watchpaper",,"1920-02-8 a-f","Made by Students","John Pierce Brace/Gift Recipient; Martha Ann Bartlett Du Villard/Gift Giver","Martha Ann Bartlett (1810-1865)",1818,"Litchfield, CT",,"Litchfield Historical Society","watercolor and ink on paper","A - 1 7/8"" diameter                                              B - 1 1/2"" length x 1 3/4"" width                                                 C - 2"" length x 3"" width                                                D - 2 1/8"" diameter                                                     E - 2 1/8"" diameter                                                F - 1 3/4"" length x 3 3/8"" width","A. Watercolor on paper, pink edged book with red spine ""Chemistry"" and open paper with ""Astronomy Botony"", arrow through book and spray of blue and white flowers 
B. Watercolor and pencil on paper of a goat with pointed ears and curled fuzzy tail, facing right, initials in lower right corner ""J.P.B.""
C. Ink on paper ""Accept this from/one who wishes to return thanks/for the kindnesses/received/from you""
D. Watercolor on pasteboard, all over grey, sprig design with open sheet music ""Alls Well"" and ""For God"" with harp and trumpets surrounded by flowers and ribbons  
E. Watercolor on paper of cluster of entians with one bud  
F. Ink on paper, ""I have painted this watch paper/for Mr. Brace--mite he accept of it/as a trifling testimony of the regard/of---M A Bartlett---""","Yes"
"Watercolor",,"1915-03-2","Made by Students","Maria Tallmadge Cushman/Maker","Maria Tallmadge Cushman (1790-1878)","ca. 1870","Litchfield, CT",,"Litchfield Historical Society","watercolor on paper","8 1/4"" length x 5 3/4"" wide","Watercolor of a spray of raspberry leaves. ","Yes"
"Map of the United States",,"1909-21-0","Made by Students","Caroline Chester Knickerbocker/Maker",,1816,"Litchfield, CT",,"Litchfield Historical Society","watercolor and ink on paper","20 1/2"" length x 25"" width","Hand drawn ink map of eastern half of the United States with states and territories outlined in various water colors.  Carouche with eagle in lower left corner.  26 degrees to 48 degrees latitude and a particularly American version of latitude with 0 degrees at Washington.  Framed - black wood under glass.  ","Yes"
"Wedding Rings",,"1907-02-5,6","Clothing & Personal Accessories","Elizabeth Canfield Tallmadge/Owner; Frederick Augustus Tallmadge/Owner",,1815,,,"Litchfield Historical Society","gold","3/4"" diameter","Gold band wedding ring.  Engraved inside: ""F. A. Tallmadge  Eliza H. Canfield"" and ""22""    ","Yes"
"William Tracy Gould","Main Image","1955-03-4","Images of People","William Tracy Gould/Portrait of",,"ca. 1850",,,"Litchfield Historical Society","Colored photograph",,"Photograph of William Tracy Gould.  He is seated, facing to the right.  He wears a dark jacket, vest and pants with a white shirt.  The collar of the shirt is turned up and held in place by a black knotted bow tie.  Gold watch chain lays across front of vest.  The photograph has been hand colored.  Was framed at one point but has been removed from framing.  ","Yes"
"William Wolcott Ellsworth","Main Image","1963-02-6","Images of People","William Wolcott Ellsworth/Portrait of","Anson Dickinson (1779-1852)",1812,"Litchfield, CT",,"Litchfield Historical Society","watercolor on ivory","2 3/8"" length x 2 3/4"" width","Oval shaped ivory portrait miniature.  Shows young man with dark curly hair, side burns and blue eyes.  He is wearing a black coat, white 3 button vest, shirt and tie.  The background is blue and white.  Set in a gold frame with beaded edge.  Back has oval glass insert with lock of brown hair inside.  The edge of the glass also has a beaded edge. ","Yes"
"Dr. Josiah Gale Beckwith","Main Image","2003-54-1","Images of People","Josiah Gale Beckwith/Portrait of",,"ca. 1845","Litchfield, CT",,"Litchfield Historical Society","oil on canvas","55"" length x 45 3/4"" width","Oil on canvas.  Dr. Beckwith sits in a red upholstered arm chair.  To his right is a table with a green table cloth.  There are leather bound books and some papers on the table.  A heavy red curtain hangs behind him.  His son, Josiah Gale Beckwith,  is standing to his left.  Dr. Beckwith has his arm around his son's shoulder.  Dr. Beckwith wears a black suit with vest, a white shirt and a black tie.  He has short reddish brown hair with a receeding hairline.  His son has curly reddish brown hair and large brown eyes.  He wears what appears to be a one piece blue jumpsuit with a white lace collar.","Yes"
"Jane Seymour Beckwith","Main Image","2003-54-2","Images of People","Jane Seymour Beckwith/Portrait of",,"ca. 1845","Litchfield, Ct",,"Litchfield Historical Society","oil on canvas","55"" length x 45 3/4"" width","Oil on canvas.Jame Beckwith is seated wearing a dark blue dress with a white lace collar.  She holds an partially opened book in her left hand.  She has brown hair, parted down the middle that hangs to her ears before being pulled behind her head.  Her daughter Sarah stands to her right side.  Jane has her hand on her daughter, Sarah Hunt Beckwith's, shoulder.  Sarah wears a blue dress, almost identical in style to the one her mother wears.  She has brown curly hair.  There is a heavy red curtain behind them on the right side of the canvas.","Yes"
"Henry Ward Beecher","Main Image","1934-10-0","Images of People","Henry Ward Beecher/Portrait of","Alban Jasper Conant (1821-1915)",1885,,,"Litchfield Historical Society","oil on canvas","50"" length x 39 1/2"" width","Oil on canvas portrait of Henry Ward Beecher.  Rectangular 3/4 length lifesize portrait of elderly man seated head facing front, body to the left.  Two large volumes at feet in right coner of canvas.  Black suit, white shirt, black tie, pocket watch chain visible, shoulder length gray hair. He is seated in a wooden chair with upholstered back and arms.  Frame is wooden with plaster decoration painted gold.","Yes"
"Watercolor of a Blue Jay",,"1912-13-2","Related Artwork","Roxanna Foote Beecher/Maker","Roxanna Foote Beecher (1775-1816)","ca. 1810","Litchfield, CT",,"Litchfield Historical Society","ink and watercolor on paper","13"" length x 8 1/2"" width","Center image on paper is of a blue jay bird painted in watercolor.  Head and breast of a second bird drawn in ink underneath blue jay but not fully drawn or colored.  ","Yes"
"Watercolor of a Flower",,"ca1890-07-5","Made by Students","Lois Ann Buel/Maker","Lois Ann Buel (1812-1848)","ca.1825-1830","Litchfield, CT",,"Litchfield Historical Society","watercolor on tissue","7 1/2"" length x 5 3/4"" width","Watercolor of a purple and yellow viola on thin tissue paper","Yes"
"Chart of the History of the Kings of England",,"ca1900-21-0","Made by Students","Eliza Ogden Butler/Maker","Eliza Ogden Butler (1803- )","ca. 1816-1818","Litchfield, CT",,"Litchfield Historical Society","watercolor on paper","16 1/2"" length x 22"" width","Paper mounted on linen backing, with border of yellow ribbon.  Circular shaped chart -  ""History of/The Kings of/England"" with map of SAXON HEPTARCHY in upper center above legend.","Yes"
"Judson Canfield","Main Image","1917-04-3","Images of People","Judson Canfield/Portrait of ","Ralph Earl (1751-1801)",1796,"New Milford, CT or Sharon, CT",,"Litchfield Historical Society","oil on canvas","55"" length x 42 1/2"" width","Oil on canvas portrait of Judge Judson Canfield, 1/2 length     portrait of an older man seated with legs crossed. He has blue  eyes, white powdered wig, and wears a black coat with large  brass buttons, white satin waistcoat, white ruffled shirt, knee britches with oval buckles and blue/gray stockings. Seated in red upholstered side chair, holds paper in right hand, left rests on table. Background with red drapery and shelwith books.  To right of bookcase a cloud filled sky, a hill and a suggestion of a column.","Yes"
"Mabel Ruggles Canfield","Main Image","1917-04-4","Images of People","Mabel Ruggles Canfield/Portrait of","Ralph Earl (1751-1801)",1796,"New Milford, CT or Sharon, CT",,"Litchfield Historical Society","oil on canvas","55"" length x 42 1/2"" width","Oil on canvas 3/4-length portrait of Mabel Ruggles Canfield seated in green bow-back Windsor side chair.  She is wearing a yellow gold silk dress and holding several large feathers in her hand.  She has an elaborate lace cap on her head and double ruffle lace collar down the front of her dress.  Her dress is cinched at the waist with a wide silk band.  The background of her portrait displays a landscape scene.","Yes"
"Judson, Julia and Elizabeth Canfield",,"1917-04-5","Images of People","Julia Canfield Flewwelling/Portrait of; Elizabeth Canfield Tallmadge/Portrait of","Ralph Earl (1751-1801)",1796,"New Milford, CT or Sharon, CT",,"Litchfield Historical Society","oil on canvas","51"" length x 51"" width","Three children seated on a stone garden bench with trees and sky in the background.  Henry Judson, seated on the left, has long blond hair, blue eyes and wear a dark green suit with brass buttons, a yellow vest and wide embroidered white collar over his shoulders.  He has low cut shoes and white stockings.  In his right hand he holds an open picture book and his left hand rests on the bouquet in his sister's lap.
The two sisters have the same long blond hair and blue eyes.  They are dressed alike in full dresses of India embroidered white mull and half sleeved bodices of like material over pink petticoats.  They wear wide pink satin sashes around their waists tied in huge bows at the back.  The arms of the dresses are also bound half way down with a thin pink ribbon. Julia, seated center, holds a bouquet of roses and violas in her lap.","Yes"
"Landscape of Canfield Home",,"1917-04-7","Related Artwork","Judson Canfield/Resident of Home; Mabel Ruggles Canfield/Resident of Home; Julia Canfield Flewwelling/Resident of Home; Elizabeth Canfield Tallmadge/Resident of Home; Caroline Canfield MacKay/Resident of Home","Ralph Earl (1751-1801)",1796,"Sharon, CT",,"Litchfield Historical Society","oil on canvas","38"" length x 76"" width","Oil on canvas painting of a landscape, horizontal plane, high cliffs on the right, a group of three maples on the left, between is a meandering stream. Rolling hills in the background, in the center on a small hill is a white federal style mansion with red roof, white picket fence, a road from the right leads to the house over a small bridge where there is a gate house, sign and horse sheds. There are three swans in the stream.","Yes"
"Judson Canfield",,"1955-02-1","Images of People","Judson Canfield/Portrait of ","Daniel Huntington (1816-1906)","June 1839","Sharon, CT",,"Litchfield Historical Society","oil on canvas","33"" length x 27 3/4"" width","Oil on canvas portrait of Judge Judson Canfield, 1/2 length of an old man facing left, wearing a black coat and vest, ruffled white shirt and white tie.  Receding thin white hair, sunken mouth, hazel eyes. ","Yes"
"Mabel Ruggles Canfield",,"1955-02-2","Images of People","Mabel Ruggles Canfield/Portrait of ","Daniel Huntington (1816-1906)","June 1839","Sharon, CT",,"Litchfield Historical Society","oil on canvas","33"" length x 27 3/4"" width","Oil on canvas portrait of Mabel Ruggles Canfield, 1/2 length of an old woman facing right, wearing a black dress, ruffled mull collar and ruffled cap with bow tie at neck.  Brown curls, blue eyes and sunken mouth,  Sitting a side chair upholstered in red. ","Yes"
"Dr. Abel Catlin","Main Image","1921-04-1","Images of People","Abel Catlin/Portrait of ","Attributed to George Catlin (1796-1872)","ca. 1840-1850","Litchfield, CT",,"Litchfield Historical Society","oil on canvas","39 1/2"" length x 36 1/4"" width","Oil on canvas 3/4 length portrait of Dr. Abel Catlin, (1770-1856) as elderly man, high forehead, whisps of white hair, deep set blue eyes, wrinkled face, wearing a black jacket with wide cut lapels, high white collar and white cravat, dark background.  
Framed - wood painted gold with wide molding","Yes"
"Watercolor of Flowers",,"ca1890-02-71","Made by Students","Anne Leonard Holme/Maker","Anne B. Leonard Holme (1789- )","ca. 1804","Litchfield, CT",,"Litchfield Historical Society","watercolor on paper","8 1/2"" length x 5 1/2"" width","Watercolor on paper of a bouquet of two blue periwinkles and two johnnie-jump-ups.","Yes"
"C. Perkins Law Office Sign",,"X1977.72","Trade Signs","Charles Perkins/Owner",,"ca. 1820","Litchfield, CT",,"Litchfield Historical Society ","wood, paint",,"Rectangular wooden sign painted black with molded edge.  ""C. Perkins/Law Office"" painted in gold lettering in center.  Gold molded edge around wording.  ","Yes"
"Epaphroditus Seymour","Main Image","1950-04-3","Images of People","Epaphroditus Seymour/Portrait of ",,"ca. 1845",,,"Litchfield Historical Society","oil on canvas","38 1/2"" length x 33"" width","Oil on canvas, rectangular 1/4 length portrait of an older man facing to the right with gray hair and brown eyes, wearing a black clerical or  academic robe, white high collar shirt with white stock.","Yes"
"Benjamin Tallmadge",,"1936-01-1","Images of People","Benjamin Tallmadge/Portrait of ","Ezra Ames (1768-1836)","ca. 1825","New York City, NY",,"Litchfield Historical Society","oil on canvas","36 3/4"" length x 31 1/4"" width","Oil on canvas portrait of Benjamin Tallmadge, 1/4 length image of older man, full front face, bold forehead, thin grey hair, stern blue eyes and large curved nose.  Wearing a black coat, black   vest, standing pleated ruffle white shirt, high white collar and tie.","Yes"
"Benjamin Tallmadge",,"1974-09-1","Images of People","Benjamin Tallmadge/Portrait of ","Ezra Ames (1768-1836)","ca. 1825","New York City, NY",,"Litchfield Historical Society ","oil on canvas","39 1/2""length x 33"" width","Oil on canvas portrait of Benjamin Tallmadge 1/2 length image of older man, full face, turned slightly to the right, bold forehead, thin grey hair, stern blue eyes and large curved nose.  Wearing a black coat, black vest, standing pleated ruffle white shirt, high white collar and tie.
Label on back - ""Colonel Benjamin Tallmadge/First Regiment Light Dragoons/of Connecticut Revolutionary/Born at Brookhaven, L.I./(illegible) erg 1754.  Died at/(illegible) es""","Yes"
"Benjamin Tallmadge","Main Image","1917-04-1","Images of People","Benjamin Tallmadge/Portrait of ","Ralph Earl (1751-1801)",1790,"Litchfield, CT",,"Litchfield Historical Society","oil on canvas"," 83"" length x 59"" width","Oil on canvas, rectangular, full length portrait of Benjamin Tallmadge seated, and his young son, William Smith Tallmadge standing on his left with his arm resting on his father's left arm.  Tallmadge sits with his arm resting on a table covered with green braize. He holds a piece  of paper in this hand. He is on a green, red and gold Kidminster carpet in geometric pattern.  There is a bookshelf to the left, a green curtain either side.  He wears a blue jacket, an embroidered white waist coat, yellow knee breeches, white hose and black shoes with gold buckles.","Yes"
"Mary Floyd Tallmadge","Main Image","1917-04-2","Images of People","Mary Floyd Tallmadge/Portrait of ; Maria Tallmadge Cushman/Portrait of ","Ralph Earl (1751-1801)",1790,"Litchfield, CT",,"Litchfield Historical Society","oil on canvas"," 82"" length x 58 1/2"" width","Oil on canvas portrait of Mary Floyd Tallmadge with her son, Henry Floyd Tallmadge and her daughter, Maria Jones Tallmadge. Mrs. Tallmadge sits on a straight back chair, her daughter sits on her lap, her son at her feet. Mrs. Tallmadge has her hair puffed, powedered and trimmmed with ostrich feathers, pearls and roses.  Wearing a blue silk dress, around her shoulders a wide double lace collar mid arm length sleeves and wide lace cuffs.  In her right hand she holds a painted fan, around her wrist is a black band with pearl clapse.  To her left a green drapery with gold tassle trim, to her right a opne window with white church steeple.","Yes"
"Document Box",,"1995-10-1","Tools of a Profession","Lewis Bartholomew Woodruff/Owner",,"ca. 1850",,,"Litchfield Historical Society","tin, paint","9 1/2"" length x 4 1/8"" width x 2 5/8"" height","Painted tin, or toleware, document, letter or deed box.  Rectangular shaped box, with fold-over hinged lid with hinged latch. Painted black, top decorated with gold band around outside, red line and other gold line decoration. Gold lines outlining on all four sides, front side with gold block style capitol lettering ""L. B. WOODRUFF"" for Lewis B. Woodruff (1809-1875) of Litchfield.","Yes"
"George Catlin Woodruff","Main Image","2004-26-1","Images of People","George Catlin Woodruff/Portrait of ",,"ca. 1840","Litchfield, CT",,"Litchfield Historical Society ","oil on canvas","35"" length x 30"" width","Oil on canvas.  Man facing front and slightly to the right  He is sitting in a red upholstered chair wearing a black jacket, vest and tie with a white shirt which the collar has been turned upward.  He has dark curly hair and brown eyes.  There is a short beard around the outline of his chin.  The background of the painting is a simple brownish shade which fades from dark to light.  The painting is framed in a wooden frame painted gold, elaborately carved with several rows of decoration.","Yes"
"Henrietta Seymour Woodruff","Main Image","2004-26-2","Images of People","Henrietta Seymour Woodruff/Portrait of ",,"ca. 1840","Litchfield, CT",,"Litchfield Historical Society ","oil on canvas","35"" length x 30"" width","Oil on canvas.  Woaman facing front and slightly to the left. She is seated wearing a black dress which has a V neckline with a white blouse or insert.  There is a red shawl wrapped around her arms below the shoulders.  She has dark brown hair which is parted in the middle and hangs to her ears before being pulled back behind her neck and brown eyes.  The painting is framed in a wooden frame painted gold, elaborately carved with several rows of decoration.","Yes"
"Morris Woodruff","Main Image","1978-02-1","Images of People","Morris Woodruff/Portrait of ","Anson Dickinson (1779-1852)","February 1835","Litchfield, CT",,"Litchfield Historical Society","watercolor on ivory","3 3/4"" length X 2 5/8"" width","Rectangular ivory bust length portrait of Morris Woodruff.  He is wearing a black suit with a white shirt.  He has brown eyes and grey hair.  The background is blue.  ","Yes"
"Side Chair",,"1929-02-26A","Furniture","Morris Woodruff/Owner",,,"Litchfield, CT",,"Litchfield Historical Society","cherry wood","35 1/8"" height x 20"" width x 17 3/4"" depth","Mahaogany side chair, 5 vertical slats in splat between stiles, slip seat, 4 sqaure legs, back one racking back, 4 stretchers, one between front and back legs, one connecting back legs and one in the middle connecting side stretchers.  Made in Litchfield County, CT. ","Yes"
"John Pierce Brace",,"1927-10-3","Images of People","John Pierce Brace/Photograph of ",,"ca. 1860","Hartford, CT",,"Litchfield Historical Society","daguerreotype",,"Daguerreotype of John Pierce Brace.  Older, portly man wearing jacket and vest.  He is holding a can in his right hand.  Still in original case. ","Yes"
"John Pierce Brace",,"1927-10-4","Images of People","John Pierce Brace/Photograph of ",,"ca. 1865","Hartford, CT",,"Litchfield Historical Society","daguerreotype",,"Daguerreotype of John Pierce Brace.  Image captures only his head and shoulders.  He is wearing a dark jacket and white shirt and tie. Still in original case but there has been damage to the image. ","Yes"
"John Pierce Brace","Main Image","1927-10-6","Images of People","John Pierce Brace/Photograph of ",,"ca. 1830","Hartford, CT",,"Litchfield Historical Society","watercolor and ink on paper","3 1/4"" length x 2 3/4"" width","Small oval portrait of John Pierce Brace.  Watercolor on paper.  Captures Brace from chest up.  He is facing left.  He has black hair, long sideburns, brown eyes and is wearing a brown coat, high white collar and black silk cravat with a wide bow at neck.  Contained in green velvet case.","Yes"
"Samuel Buel","Main Image","1954-01-2","Images of People","Samuel Buel/Photograph of ",,"ca. 1850",,,"Litchfield Historical Society","daguerreotype",,"Daguerreotype of Samuel Buel.  He is seated facing the camera wearing a dark jacket, vest and cravat with a white shirt.  He has dark hair and eyes.  He right arm is bent and resting on a table off camera.  Still in original case. ","Yes"
"Elizabeth Prince Childs",,"1924-03-2","Images of People","Elizabeth Prince Childs/Photograph of ",,"ca. 1850",,,"Litchfield Historical Society","daguerreotype",,"Daguerreotype of Elizabeth Prince Childs.  Image captures only her head and shoulders.  She has dark hair, parted down the center and pulled low on her neck.  She wears a dark dress with a brooch pinned at her neck.  Still in original case. ","Yes"
"Julia Canfield Flewwelling","Main Image","1918-03-15","Images of People","Julia Canfield Flewwelling/Silhouette of ",,"ca. 1820","New Milford, CT or Sharon, CT",,"Litchfield Historical Society","silhouette","4 1/2"" length x 3 3/4"" width","Silhouette of Julia Canfield Flewwelling.   She is facing to the left.  Her hair is pulled back in a bun and tied with a ribbon.  There are a few pieces hanging cross her face.  Written in ink underneath ""J.E. Flewwelling"" and ""taken in youth"" down the right side of the silhouette. ","Yes"
"Mary Pierce",,"ca1890-12-2","Images of People","Mary Pierce/Photograph of ",,"ca. 1850","Litchfield, CT",,"Litchfield Historical Society","daguerreotype",,"Daguerreotype of Mary Pierce.  She is an elderly woman at the time of the image.  She faces the camera wearing a dark dress with a long white fichu around her neck held in place with a small pin.  She also wears a lace cap over her dark hair.  ","Yes"
"Mary Pierce",,"1932-06-2","Images of People","Mary Pierce/Photograph of ",,"ca. 1830","Litchfield, CT",,"Litchfield Historical Society","silhouette",,"Silhouette of Mary Pierce.  She faces to the left.  The silhouette captures only her head and shoulders. Her hair is pulled back on the top of her head.  ","Yes"
"Sarah Pierce",,"1932-06-1","Images of People","Sarah Pierce/Silhouette of ",,"ca. 1830","Litchfield, CT",,"Litchfield Historical Society","silhouette",,"Silhouette of Sarah Pierce.  She faces to the left.  The silhouette captures only her head and shoulders.  She wears a cap on her head and the collar of her dress is visible. ","Yes"
"Daniel Sheldon",,"1939-04-9","Images of People","Daniel Sheldon/Photograph of ",,"ca. 1840","Litchfield, CT",,"Litchfield Historical Society","daguerreotype",,"Daguerreotype of Daniel Sheldon.  He is standing facing the camera.  He wears a dark suit with a white shirt.  His right hand is holding the back rail of a rush seated side chair.  In his left hand is a walking stick.  Daguerreotype image decomposing.  ","Yes"
"Daniel Sheldon",,"1949-13-1","Images of People","Daniel Sheldon/Photograph of ",,"ca. 1840","Litchfield, CT",,"Litchfield Historical Society","daguerreotype",,"Daguerreotype of Daniel Sheldon.  He is facing to the right with his left hand under his chin.  He wears a dark suit with a white shirt.  He has white hair that is swept back from his face.  ","Yes"
"Daniel Sheldon",,"1949-13-2","Images of People","Daniel Sheldon/Photograph of ",,"ca. 1840","Litchfield, CT",,"Litchfield Historical Society","daguerreotype",,"Daguerreotype of Daniel Sheldon.  He is facing the camera.  The images captures his head and chest.  He wears a dark suit with a white shirt and cravat.  He has white hair that is swept back on his head. ","Yes"
"Daniel Sheldon","Main Image","1908-18-0","Images of People","Daniel Sheldon/Portrait of ","Anson Dickinson (1779-1852)","December 13, 1831","Litchfield, CT",,"Litchfield Historical Society","watercolor on ivory","3 3/8"" length x 2 11/16"" width","Watercolor on ivory portrait of Daniel Sheldon.  He has grey hair and blue eyes.   He is wearing a dark coat and white stock.  Facing center right.","Yes"
"Jane Wadhams and Henry Ward Stevens",,"1966-01-87","Images of People","Jane Wadhams Stevens/Portrait of ; Henry Ward Stevens/Photograph of ",,"ca. 1840-1845",,,"Litchfield Historical Society","daguerreotype",,"Daguerreotype of Jane Wadhams and Henry Ward Stevens.  She is seated on the left and he is on the right.  She wears a plaid dress with white lace collar and cuffs.  Her hair is dark and pulled back.  He wears a dark suit with a white shirt and colored tie.  A gold watch chain is strung across his chest.  ","yes"
"Henry Ward Stevens","Main Image","8629","Images of People","Henry Ward Stevens/Photograph of ",,"ca. 1840-1845",,,"Litchfield Historical Society","daguerreotype",,"Daguerreotype of Henry Ward Stevens.  The images captures him from the waist up.  He wears a dark suit with a white shirt and colored tie.  He has dark hair with facial hair on his chin.  The daguerreotype is badly scratched.","Yes"
"Jane Wadhams Stevens","Main Image","1966-01-68","Images of People","Jane Wadhams Stevens/Photograph of ",,"ca. 1840-1845",,,"Litchfield Historical Society","daguerreotype",,"Daguerreotype of Jane Wadhams Stevens.  She is wearing a plaid dress with white lace collar and cuffs.  There is a brooch at her throat.  She has dark hair which is parted down the middle and pulled lown on her neck.  She is seated and faces to the right.  ","yes"
"Dress",,"1966-01-3","Clothing & Personal Accessories ","Jane Wadhams Stevens/Owner",,"ca. 1850-1855",,,"Litchfield Historical Society","cotton",,"Matching dress and pelerine.  White cotton dress with printed design of purple horizontal stripes alternating with vines of ivy also in purple.  The dress is high waisted with a full length skirt, off the shoulder neckline, gathered bodice and short sleeves.  The sleeves have double ruffle at end.   Boning sewn into lining of dress and  hook and eyes on center back.  Pelerine in matching fabric.  Ruffle around edge except for on right facing side which is worn under opposite side with ruffle. ","Yes"
"The Buffalo Hunt, Surrounding the Herd",,"1925-07-1","Made by Students","George Catlin/Maker","George Catlin (1796-1872)","1830-1838",,,"Litchfield Historical Society","lithograph","18 5/8"" length x 23 7/8"" width","Lithograph of George Catlin painting.  Published by Currier and Ives.  Shows buffalo herd surrounded by hunting Native Americans on horse back and foot. ","Yes"
"Buffalo Hunt on the Banks of the Upper Missouri ",,"1925-07-2","Made by Students","George Catlin/Maker","George Catlin (1796-1872)","1830-1838",,,"Litchfield Historical Society","lithograph","17"" length x 21 5/8"" width","Lithograph of George Catlin painting.  Published by Currier and Ives.  Shows man and two boys crouched in a gulley at left about to surprise a herd of buffalo grazing in background","Yes"
