"Title","Accession #","Category","Associated People","Associated Place(s)","Creator(s)","Date","Collection","Held At","Medium","Size","Description","URL","Associated Files","Transcription Files"
"Cornelius Dubois law notebooks","1890-10-0","Notebook","Cornelius Dubois",,"Cornelius Dubois; James Gould",1830,"Litchfield Law School Collection","Litchfield Historical Society",,"2 volumes","Cornelius Dubois (1810-1881) was a student at the Litchfield Law School in 1830. His 2 volumes of lectures notes taken from classes taught by James Gould are labelled ""Volume 4"" and ""Volume 6"". Volume 4 includes Action ex Delicato, 601 pages; and volume 6 includes Law Merchant, Partnerships, and Insurance.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/findingaid&id=10&q=&rootcontentid=3068#id3068",,
"Robert Fairchild law notebook","1890-10-0","Notebook","Robert Fairchild",,"Robert Fairchild; Tapping Reeve",1794,"Litchfield Law School Collection","Litchfield Historical Society",,"1 volume","Robert Fairchild (1775-1835) was a student at the Litchfield Law School in 1794. His notebook of lecture notes taken from classes taught by Tapping Reeve consists of 550 pages. Written on the first page is ""continuation of a lecture on contracts"" indicating that there was a prior notebook. Other topics include Real Property, On Evidence; and, Estates of Deceased Persons.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/findingaid&id=10&q=&rootcontentid=3068#id3068",,
"Hiram Gould Goodwin law notebook","1890-10-0","Notebook","Hiram Gould Goodwin",,"Hiram Gould Goodwin; William G. Williams; Tapping Reeve",1829,"Litchfield Law School Collection","Litchfield Historical Society",,"1 volume","Hiram Gould Goodwin (1808-1885) was a student at the Litchfield Law School in 1829. On the first page of his notebook of lecture notes is written ""Reeves Lectures, taken from Wm. G. Williams by Hiram Goodwin, 1828. LEX."" William Gilbert Williams was a Litchfield Law School student in 1799. There are also moot court case notes inside the front cover.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/findingaid&id=10&q=&rootcontentid=3068#id3068",,
"George Gould law notebooks","1890-10-0","Notebook","George Gould",,"George Gould; James Gould",1827,"Litchfield Law School Collection","Litchfield Historical Society",,"2 volumes","George Gould, son of Judge James Gould and Sally (Tracy) Gould was born in Litchfield, Conn. in 1807 and died in Troy, NY in 1868.  He attended the Litchfield Law School in 1827 and in 1830-1831 he aided his father by reading his lectures to the students. His notebooks consist of 2 volumes of lecture notes from classes taught by his father, James Gould. The main topics in the volumes are: Vol. 1 - Criminal Law; and Vol. 2 - Contracts.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/findingaid&id=10&q=&rootcontentid=3068#id3068",,
"Josiah Houton law notebook","1890-10-0","Notebook","Josiah Houghton",,"Josiah Houghton; Tapping Reeve; James Gould",1817,"Litchfield Law School Collection","Litchfield Historical Society",,"1 volume","Josiah Houghton (1791?-1833) attended the Litchfield Law School in 1817. His notebook consists of 1 volume of lecture notes. On the title page is written ""A Digest of law in a series of lectures delivered at Litchfield, Conn. by the Hon. Tapping Reeve & James Gould, Esq. and taken stenographically by Josiah Houghton"". Title on the binding ""A Digest of Law - J. Houghton vol. I""  Some of the topics include: Partnership, Sheriffs and Goalers, Statute of Limitations, Inns & Inn Keepers, Evidence.  In the front is a list of students Oct. 1817-Oct. 1818.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/findingaid&id=10&q=&rootcontentid=3068#id3068",,
"Samuel Andrew Law law notebook","1890-10-0","Notebook","Samuel Andrew Law",,"Samuel Andrew Law; Tapping Reeve",1794,"Litchfield Law School Collection","Litchfield Historical Society",,"1 volume","Lecture notes taken  by Samuel Andrew Law on subjects including slander, heresy and libel.  Unlike many other volumes, these appear to be notes taken during the lecture rather than those later copied and bound for reference.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/findingaid&id=10&q=&rootcontentid=3068#id3068",,
"Charles Greely Loring law notebooks","1890-10-0","Notebook","Charles Greely Loring",,"Charles Greely Loring; Tapping Reeve; James Gould","1813-1814","Litchfield Law School Collection","Litchfield Historical Society",,"3 volumes","Charles Loring Greely (1794-1867) was a student at the Litchfield Law School in 1813-1814. His 3 volumes of law lecture notes (numbered by the Litchfield Historical Society staff) are titled on the bindings as ""Reeve's and Gould's Lectures"". The title page of Vol. 1 reads ""Lectures on Municipal Law and Private Relations by the Hon. Judge Reeve and James Gould Esq. delivered at their Law Institution Litchfield, Conn. A.D. 1813-1814"". Vol. 1 includes Municipal Law, Parent and Child, Baron and Feme, Executors and Administrators; Vol. 2 includes Lex Mercatoria, Contracts, Actions, Bailments; and Vol. 3 includes Real Property. Only Vol. 3 has a binding label remaining - Reeves & Goulds Lectures/Real Property.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/findingaid&id=10&q=&rootcontentid=3068#id3068",,
"Nathaniel Mather law notebooks","1890-10-0","Notebook","Nathaniel Mather",,"Nathaniel Mather; Tapping Reeve; James Gould","1811-1813","Litchfield Law School Collection","Litchfield Historical Society",,"6 volumes","Nathaniel Mather (1788-1837) was a student at the Litchfield Law School in 1811-1813. His notebooks consist of 6 volumes of law lecture notes  from classes of Tapping Reeve and James Gould from 1811-1813. Topics in Volume 1 include Municipal Law, Baron and Feme, Parent and Child; Volume 2 - Sheriffs and Jailors, Executors and Administrators, Contracts;  Volume 3 - Bailment, Contracts; Private Wrongs; Volume 4 - Pleas and Pleadings; Evidence, Powers of Chancery; Volume 5 - Real Property, Mortgages, Trespass; Volume 6 - Criminal Law, Mercantile Law, practice of Connecticut; and an appendix of questions discussed in Moot Hall.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/findingaid&id=10&q=&rootcontentid=3068#id3068",,
"Alexis Painter law notebook","1890-10-0","Notebook","Alexis Painter",,"Alexis Painter; Tapping Reeve; James Gould",1817,"Litchfield Law School Collection","Litchfield Historical Society",,"1 volume","Alexis Painter (1794-1867) was a student at the Litchfield Law School  in 1817. His one volume of law lecture notes from classes of Tapping Reeve and James Gould includes various topics including Contracts, Bailments, Covenant Broken, and Evidence, and includes an index.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/findingaid&id=10&q=&rootcontentid=3068#id3068",,
"Origen Storrs Seymour law notebooks","1890-10-0","Notebook","Origen Storrs Seymour",,"Origen Storrs Seymour; James Gould",1824,"Litchfield Law School Collection","Litchfield Historical Society",,"6 volumes","    Origen Storrs Seymour (1804-1881) was a student at the Litchfield Law School in 1824. His notebooks consist of 6 volumes of lecture notes from classes taught by James Gould.  On the binding of his 6 volumes of law lecture notes: ""Gould's Lectures"" and ""O.S. Seymour"".

    Some subjects included are: Vol. 1 - Municipal Law, Husband and Wife, Parent and Child; Vol. 2 - Actions, Pregotive Rights,Real Property; Vol. 3 - Real Property, Trepass; Farudulent Conveyance; Powers of Chancery; Vol. 5 - Pleadings, New Trilas, Evidence; Vol. 6 - Sheriffs and Jailors, Bailments, Bills of Exchange, Master and servant.

    Origen S.Seymour also served at an assistant to Judge Gould in the Law School.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/findingaid&id=10&q=&rootcontentid=3068#id3068",,
"Daniel Sheldon, Jr. law notebook","1890-10-0","Notebook","Daniel Sheldon, Jr.",,"Daniel Sheldon, Jr.; Tapping Reeve",1798,"Litchfield Law School Collection","Litchfield Historical Society",,"1 volume","Daniel Sheldon, Jr. (1780-1828) attended the Litchfield Law School in 1798. His one volume of law lecture notes from classes at the School includes the topics: Municipal Law, Husband and Wife; Parent and Child; Executors and Administrators; Contracts and Bailments; Action of Assumpsit; Private Wrongs; Mortgages; and Prerogative Writs.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/findingaid&id=10&q=&rootcontentid=3068#id3068",,
"John C. Calhoun letter","1890-10-0","Correspondence","John C. Calhoun; Tapping Reeve",,"John C. Calhoun","1810 Feb 12","Litchfield Law School Collection","Litchfield Historical Society",,"1  item","One letter of introduction to Tapping Reeve informing him that William Martin proposes to attend his ""much valued"" Law School.  Calhoun provides character information and goes on to thank Reeve for the advantages derived from his instruction.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/findingaid&id=10&q=&rootcontentid=3068#id3068",,
"Certificate of copyright","1890-10-0","Diplomas, Certificates & Catalogs","James Gould",,"Connecticut District Court","1827 Sep 8","Litchfield Law School Collection","Litchfield Historical Society",,"1 Item","Certificate of copyright for the work ""A System of Municipal Law, Comprised in a Course of Lectures Delivered at Litchfield in the State of Connecticut by James Gould.""","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/findingaid&id=10&q=&rootcontentid=3068#id3068",,
"James Gould letter","1890-10-0","Correspondence","James Gould",,"James Gould","1827 Aug 9","Litchfield Law School Collection","Litchfield Historical Society",,"1 Item","One letter to Augustus Cincinnatus Hand replying to Hand's correspondence of July 28th.  Gould explains the terms of the Law School and an approximation of when each subject will be touched upon.  He notes that preparatory study is unnecessary.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/findingaid&id=10&q=&rootcontentid=3068#id3068",,
"Augustus Cincinatus Hand Letters","1890-10-0","Correspondence","Augustus Cincinnatus Hand",,"Augustus Cincinnatus Hand","1827-1828","Litchfield Law School Collection","Litchfield Historical Society",,"3 items","Two  letters to his father from Litchfield, the first dated 1827 Nov 12, describing his travel to Litchfield and his reception by Judge Gould; gives an account of his expenses and his dinner companions; explains his course of study and schedule as well as the system of note taking; describes the weather and notes his desire to hear from home.  In the second, dated 1828 Jan 30, Hand requestis money.  Provides a detailed explanation for why it is necessary; outlines his daily activities; describes business propositions.  There is also one letter to his brother, Richard Charles Hand, 1828 Jan 7. describing the course of his studies; describes Judge Gould and mentions his drinking; states a catalog of students is being published and notes he will send one upon completion; describes moot court activities and his teachers; gives details about the Presbyterian minister.
","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/findingaid&id=10&q=&rootcontentid=3068#id3068",,
"Sydney Edward Morse letter and map","1890-10-0","Correspondence","Sydney Edward Morse",,"Sydney Edward Morse","1814 Dec 7","Litchfield Law School Collection","Litchfield Historical Society",,"1 Item","One letter to his parents giving fee schedule; explains that he need not pay until he finishes his course of study; also outlines expenses of board, room, wood, washing, candles, paper, and miscellaneous.  Provides the names of his lectures and discusses the town.  Morse includes a map of the center of town.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/findingaid&id=10&q=&rootcontentid=3068#id3068",,
"Edgar L. Ormsbee letter","1890-10-0","Correspondence","Edgar L. Ormsbee; Augustus Cincinnatus Hand",,"Edgar L. Ormsbee ","1827 Jul 19","Litchfield Law School Collection","Litchfield Historical Society",,"1 Item","One letter to Augustus Cincinnatus Hand responding to Hand's inquiry about the course of study at the Litchfield Law School.  Describes the courses; notes that expenses are about one forth higher than other New England villages of similar size.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/findingaid&id=10&q=&rootcontentid=3068#id3068",,
"Elizabeth Thompson Reeve correspondence","1890-10-0","Correspondence","Elizabeth Thompson Reeve; John Cotton Smith; Tapping Reeve",,"Elizabeth Thompson Reeve; Tapping Reeve","1820-1827","Litchfield Law School Collection","Litchfield Historical Society",,"4 items","Four letters from Elizabeth Thompson Reeve to John Cotton Smith.  1820 Apr 6 Writes a letter on behalf of her husband, Tapping Reeve, to thank Smith for his letter; describes Reeve's illness; details a conversation Reeve had with Judge Johnson and Johnson's commentary on the constitution and early government; notes disappointment and not seeing Smith and his wife; notes that attendance at the Law School is down and remarks that Reeve's poor health may render him unable to print his second volume.; 1824 Nov 9 Has attempted to find a way to visit Smith and his wife without success; had wished to obtain advice about a manuscript; explains various difficulties in publishing a sermon (likely the sermon preached by Lyman Beecher at the funeral of Tapping Reeve); describes financial hardships and solicits Smith's advice.; 1825 Jan 12 Reeve thanks Smith for his assistance in preparing a manuscript; looks forward to an upcoming visit and requests the Smith's grandson accompany them.; 1827 Aug 27 Forwards sermons to Smith; describes the health of her grandson Tapping Burr Reeve; requests the Smith's visit; requests plumbs for preserving; describes a visit from a Mr. & Mrs. Burr and their children.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/findingaid&id=10&q=&rootcontentid=3068#id3068",,
"Litchfield Law School Moothall Society records","1890-10-0","Collections of Papers",,,"Litchfield Law School Moothall Society","1796-1798","Litchfield Law School Collection","Litchfield Historical Society",,"3 items","Two volumes of Reports of the Cases disputed and determined in Mr. Reeve's Offices and a two page document listing rules for the Society formed by students for the purpose of disputing questions.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/findingaid&id=10&q=&rootcontentid=3068#id3068",,
"Receipt for room rent","1890-10-0","Record Books, Ledgers & Receipts","Mabel Strong Seymour; Augustus Cincinnatus Hand",,"Mabel Strong Seymour","1828 Apr 28","Litchfield Law School Collection","Litchfield Historical Society",,"1 Item","Receipt for six months room rent ($22.50) paid by Augustus Cincinnatus Hand at $45 per year.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/findingaid&id=10&q=&rootcontentid=3068#id3068",,
"John Cotton Smith & John B. C. Lucas letters","1890-10-0","Correspondence","John Cotton Smith; John B. C. Lucas; William Lucas",,"John Cotton Smith; John B. C. Lucas",1817,"Litchfield Law School Collection","Litchfield Historical Society",,"2 items","Item 1: John Cotton Smith to Tapping Reeve 1817 Dec 2 Sends a letter of introduction with William Lucas, who wishes to study law with Reeve.  He encloses a letter sent to Smith by Lucas's father, John Baptiste Charles Lucas, and notes that he is one of the judges of the superior court in the Missouri territory.; Item 2: John B. C. Lucas (John Baptiste Charles) to John Cotton Smith 1817 Oct 12 Request that Smith help his son William in pursuing studies with Tapping Reeve.  Gives details of why he believes this would be advantageous.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/findingaid&id=10&q=&rootcontentid=3068#id3068",,
"Richard Wayne Stites letter","1890-10-0","Correspondence","Richard Wayne Stites; Tapping Reeve",,"Richard Wayne Stites","1823 Jan 25","Litchfield Law School Collection","Litchfield Historical Society",,"1 item","One letter to Tapping Reeve detailing the whereabouts of Reeve's Domestic Relations.  Stites notes receipt of a letter from Ebenezer Jackson of Georgia who left them in the possession of a Mr. Woodbridge; wishes Reeve to communicate what he wishes done with the volumes.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/findingaid&id=10&q=&rootcontentid=3068#id3068",,
"Rollin Sanford obituary","1973-31-0","Printed Materials","Rollin Sanford",,,,"Margaret Swartout Sanford papers","Litchfield Historical Society",,"1 item","Obituary of Rollin Sanford","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/controlcard&id=594",,
"John Pierpont Letter","1985-27-0","Correspondence","John Pierpont",,"John Pierpont","1836 Nov 24","Small Acquisitions","Litchfield Historical Society",,"1 item","A letter dated Nov. 24, 1836, written from Boston by Rev. John Pierpont (1785-1866) to his brother, James Morris Pierpont (1800-1839) of South Farms, Litchfield, Conn., later Morris, Conn. John reports on the arrival of the Lydia and its cargo; that he has taken up and paid the note signed by Sherman, Tolles, John and James for $1,000; and asks for advice on other business matters, including what to do with the stereotype plates used to print labels for the Farmington Company's Patent Wood Screws.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/controlcard&id=549",,
