id,name,unique_name,other_name,gender,room_and_board,home_town,home_state,home_country,born,died,other_education,admitted_to_bar,training_with_other_lawyers,federal_committees,state_committees,biographical_notes,citation_of_attendance,image_id,secondary_sources,additional_notes,private_notes,benevolent_and_charitable_organizations,quotes,political_parties,professions,residences,government_posts,marriages,LLS,LFA,materials,relations
3631,Davis Curtis Sanford,,,M,,New Milford,CT,United States,,,"He Attended the Law School of Judge Chapman in Newtown, CT. He also Studied law with Perry Smith in New Milford, CT and Seth P. Beers in Litchfield, CT",,,,,,,,,,,,,,Lawyer;Political Office,,,,,,,
3633,Henry Bull,,,M,,,,,,,,,,,,A student named Henry Bull attended the Litchfield Female Academy. No other information is known about his identity at this time.,"'List of Pupils Gathered from Letters and Other Sources' (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 to 1833.</I> Cambridge, MA: The University Press, 1903).",,,,,,,,,,,,,Unknown,,
3634,Martha Bull Turner,,Martha Bull,F,,Hartford,CT,United States,"June 27, 1809",,,,,,,"Martha Bull Turner was born to Isaac Dickerman Bull and Mary Watson Bull on June 27, 1809 in Hartford, Connecticut. Martha attended the Litchfield Female Academy from 1825-1826. Four year later she married Asa Turner, a Yale Divinity School graduate and minister, on August 30, 1830. The two later lived in Quincy, Illinois and Denmark, Iowa. ","1825 Litchfield Female Academy Catalogue (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 to 1833.</I> Cambridge, MA: The University Press, 1903).   <br>1826 Litchfield Female Academy Catalogue (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 to 1833.</I> Cambridge, MA: The University Press, 1903).",,,,,,,,,Quincy/IL/United States;Denmark/IA/United States,,"Asa Turner/August 30, 1830",,1825-1826,,
3635,Asa Turner,,,M,,Templeton,MA,United States,,,He entered Amherest Academy in the fall of 1821 to prepare for college. Within two years he entered Yale University and graduated in 1827. Upon his graduation he began study at the Yale Divinity School and in 1830 he was ordained.,,,,,,,,,,,,,,Religious Calling,,,,,,,
3636,Mehitable Bull,,,F,,Milford,CT,United States,,,,,,,,"Mehitable Bull of Milford, Connecticut attended the Litchfield Female Academy in 1828.","1828 Litchfield Female Academy Winter Session Catalogue (Vanderpoel, Emily Noyes. <I>Chroicles of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The University Press, 1903).   <br>1828 Litchfield Female Academy Summer Session Catalogue (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The University Press, 1903).",,,,,,,,,,,,,1828,,
3637,Sarina Bull,,Senne Bull,F,,Litchfield,CT,United States,"November 13, 1774",,,,,,,"Sarina Bull, daughter of Asa Bull and Tamar Little Bull of Litchfield, Connecticut, was born on Novmeber 13, 1774. Sarina attended the Litchfield Female Academy in her hometown from 1799 -1800. ","Letter, Timothy Pierce to James Pierce, 6 January 1800 (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The University Press, 1903).",,,,,,,,,,,,,1799-1800,,
3638,Caroline M. Bunce,,,F,,Litchfield,CT,United States,,,,,,,,"In 1822 and 1825 Caroline M. Bunce of Litchfield, Connecticut attended Sarah Pierce's Female Academy. No other informaiton is known about her identity at this time.","1822 Litchfield Female Academy Catalogue published in <I>The Litchfield Eagle</I> on November 25, 1822 (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The University Press, 1903).   <br>1825 Litchfield Female Academy Catalogue (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The University Press, 1903).",,,,,,,,,,,,,"1822,1825",,
3639,Charles R.S. Buoyington,,,M,,Litchfield,CT,United States,,,,,,,,"In 1830 Charles R.S. Buoyington of Litchfield, Connecicut attended Sarah Pierce's Female Academy in his hometown. No other information is known about his identity at this time.",'Catalogue of the Litchfield Academy … 1830' (Litchfield Historical Society - Litchfield Female Academy collection).,,,,,,,,,,,,,1830,Litchfield Female Academy Collection,
3640,Miss Burgett,,,F,,,,,,,,,,,,In 1802 a student named Miss Burgett attended the Litchfield Female Academy. Her full identity is not known at this time.,"Miss Burgett is listed as a fellow student in Maryann Bacon's 1802 Journal (Litchfield Historical Society - Litchfield Female Academy collection).   <br>1802 Litchfield Female Academy Catalog (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The University Press, 1903).",,,,,,,,,,,,,1802,Litchfield Female Academy Collection,
3641,Elizabeth Burk,,,F,,Hartford,CT,United States,,,,,,,,"Elizabeth Burk of Hartford, Conecticut attended the Litchfield Female Academy in 1822. Nothing else is known about her life.","1822 Litchfield Female Academy Summer Session Catalogue (Vanderpoel, Emily Noyes. <I>More Chroicles of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The University Press, 1927).",,,,,,,,,,,,,1822,,
3642,Miss Burk,,,F,,,GA,United States,,,,,,,,In 1802 a Miss Burk of Georgia attended the Litchfield Female Academy. Her full identity is not known at this time.,"Miss Burk is listed as a fellow student in Maryan Bacon's 1802 Journal (Litchfield Historical Society - Litchfield Female Academy collection).   <br>1802 Litchfield Female Academy Catalog (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The Universitiy Press, 1903).",,,,,,,,,,,,,1802,Litchfield Female Academy Collection,
3643,Aurelia Burnham Colton,,Aurelia Clarissa Burnham,F,,Lenox,MA,United States,"November 16, 1804",,,,,,,"Aurelia Burnham Colton was born on Novemeber 16, 1804 to Calvin Burnham and Clarissa Northrup Burnham in Lenox, Massachusetts. Aurelia attended the Litchfield Female Academy in 1821, and married Joseph Hutchins Colton on June 27, 1826.","1821 Litchfield Female Academy Catalog Winter Session (Vanderpoel, Emily Noyes. <I>More Chronicles of A Pioneer School Fro 1792 to 1833.</I> Cambridge, MA: The University Press, 1927).",,,,,,,,,,,"Joseph Hutchins Colton/June 27, 1826",,1821,,
3644,Joseph Hutchins Colton,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3645,Calvin Burnham,,,M,,,,,"March 9, 1776",,,,,,,,,,,,,,,,,,,Clarissa Northrup Burnham/,,,,
3646,Clarissa Northrup Burnham,,,F,,,,,"February 18, 1782",1806,,,,,,,,,,,,,,,,,,,,,,
3647,Harriet Burnham Brownell,,Harriet Burnham,F,,Cornwall,CT,United States,"December 3, 1794","May 3, 1831",,,,,,"Harriet Burnham Brownell was the daughter of Oliver Burnham and Sarah Rogers Burnham. She was born on December 3, 1794 in Cornwall, Connecticut. Harriet possibly attended the Litchfield Female Academy in 1811 and in 1812. On April 8, 1818 Harriet married Grove Lawrence Brownell and the two had three children. Harriet and Grove later lived in Woodbury, Connecticut and Sharon, Connecticut. Harriet died on May 3 1831.",[We are currently working to update and confirm citations of attendance.],,"Burnham, Roderick H. <I>The Burnham Family</I>. Hartford, CT: Case, Lockwood & Brainard, 1869.",,,,,,,Woodbury/CT/United States;Sharon/CT/United States,,"Grove Lawrence Brownell/April 8, 1818",,c.1811,,
3648,Grove Lawrence Brownell,,,M,,North Canaan,CT,United States,"March 1, 1790","April 10, 1855",Graduated from Vermont State University in 1813,,,,,,,,,,,,,,Religious Calling,Williston/VT/United States;North Cornwall/CT/United States;Woodbury/CT/United States;Sharon/CT/United States,,"Mary Whittlesey Brownell/April 24, 1822",,,,
3649,Oliver Burnham,,,M,,Cornwall,CT,United States,"November 11, 1760","April 30, 1846",,,,,,,,,,,,,,Federalist,Military;Land Surveyor;Political Office,Cornwall/CT/United States,"State/State Representative//CT;Local/Judge/of the Court of Common Pleas/Litchfield, CT","Sarah Rogers Burnham/October 17, 1787",,,,
3650,Sarah Rogers Burnham,,,F,,,,,1768,"August 12, 1846",,,,,,,,,,,,,,,,,,,,,,
3651,Mary Ann Burnham Judson,,Mary Ann Burnham; Amanda Burnham; Amanda Judson,F,,Cornwall,CT,United States,"May 12, 1804","April 25, 1842",,,,,,"Marry Ann Burnham Judson was born on November 11, 1760 in Cornwall, Connecticut to Oliver Burnham and Sarah Rogers Burnham. She attended the Litchfield female academy in 1821. On December 3, 1829 Mary Ann Maried Yale graduate Albert Judson. Mary Ann and Albert had two sons and one daughter. Mary Ann died on April 25, 1842.","1821 Litchfield Female Academy Catalog Winter Session (Vanderpoel, Emily Noyes. <I>More Chronicles of A Pioneer School From 1792 to 1833.</I> Cambridge, MA: The University Press, 1927).",,,,,,,,,,,"Albert Judson/December 3, 1829",,1821,,
3652,Albert Judson,,,M,,Woodbury,CT,United States,,,"Garduated from Yale in 1821 and also studied theology in New York, NY",,,,,,,,,,,,,,Religious Calling,,,,,,,
3654,Elizabeth Burr,,,F,Elizabeth boarded at Dr. Sheldon's house.,Hartford,CT,United States,,,,,,,,"From 1821-1822 Elizabeth Burr of Hartford, Connecticut attended the Litchfield Female Academy. No other information about her identity is available at this  time.","1822 Litchfield Female Academy Catalogue published in <I>The Litchfield Eagle</I> on November 25, 1822 (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The University Press, 1903).   <br>'Elizabeth Burr' was found written in lead pencil on the side of a dormer window in the Dr. Sheldon house along with a list of other students who presumably boarded at the house.",,,,,,,,,,,,,1821-1822,,
3655,Elizabeth Burr Mason,,Elizabeth Burr; Betsey Burr; Betsey Mason,F,Boarded with the Lyman Beecher family,New Haven,CT,United States,,,,,,,,"Elizabeth Burr Mason of New Haven, Connecticut was the daughter of Josiah and Mary Burr. In 1815 and 1816 Elizabeth travelled to Litchfield, Connecticut where she attended the Litchfield Female Academy. While studying at Ms. Pierce's school she boarded with the Beecher family, where she met her husband Stephen Mason. Stephen was boarding with the Beecher's at the same time while studying the ministry with Rev. Lyman Beecher. Around the year 1818 Elizabeth and Stephen were married in the Beecher home, and Lyman's daughter Catharine wrote a poem in celebration of the wedding. After their marriage the couple later relocated to Medina, Ohio and had one child. ","A 'Miss Burr' is mentioned in Caroline Chester's 1815 diary (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 to 1833.</I> Cambridge, MA: The University Press, 1903).   <br> A 'Miss Burr' is mentioned in Charlotte Maria Smith's 1816 diary. This entry likely refers to Elizabeth Burr Mason (Connecticut Historical Society).",,,"Betsy Burr is mentioned as an orphan cousin who lived with the Beechers in Litchfield (Beecher, Lyman. <I>Autobiography, correspondence, etc., of Lyman Beecher Volume 1.</I>).",,,,,,Medina/OH/United States,,Stephen Mason/ca. 1818,,1815-1816,Catharine Beecher Poem,
3656,Stephen Mason,,,M,,Washington,District of Columbia,United States,,,,,,,,,,,,,,,,,Religious Calling,,,,,,Catharine Beecher Poem,
3657,Josiah Burr,,,M,,,,,1753,,"Attended Yale for two years, but did not graduate",,,,,,,,,,,,,,West Indies Trade,,,Mary Burr/,,,,
3658,Mary Burr,,,F,,,,,1762,,,,,,,,,,,,,,,,,,,,,,,
3659,Harriet Burr Olyphant,,Harriet Turner Burr,F,,Richmond,VA,United States,"November 23, 1817",1869,,,,,,"Harriet Burr Olyphant was born on November 23, 1817 to David Judson Burr and Annabella Shedden Burr in Richmond, Virginia. Harriet attended The Litchfield Female Academy in 1829. On May 20, 1841 Harriet married New York Businessman David Olyphant, and the two had eight children. Harriet passed away in 1869.","1829 Litchfield Female Academy Summer Session Catalogue (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 to 1833.</I> Cambridge, MA: The University Press, 1903).",,,,,,,,,,,"David Olyphant/May 20, 1841",,1829,,
3660,David Olyphant,,,M,,New York,NY,United States,,,,,,,,,,,,,,,,,Business,,,,,,,
3661,David Judson Burr,,,M,,,,,1783,,,,,,,,,,,,,,,,Manufacturer;Lawyer;Political Office,,,,,,,
3662,Julia Ann Burr,,Anna Burr,F,,Fairfield,CT,United States,"May 1, 1800",1819,,,,,,"Julia Ann Burr was born on May 1, 1800 to David Judson Burr and Sarah Beers Burr in Fairfield, Connecticut. Julia Ann attended the Litchfield Female Academy in 1814. She passed away in 1819.",Julia Burr completed a mourning watercolor picture that is similar in style and execution to other works completed by confirmed Female Academy Students Elizabeth Catlin Cooke and Ruth Upson Pardee. ,,,,,,,,,,,,,1814,Mourning Watercolor by Julia Ann Burr,
3663,Sarah Beers Burr,,,F,,,,,1762,1842,,,,,,,,,,,,,,,,,,,,,,
3664,William Shedden Burr,,,M,,Richmond,VA,United States,"June 7, 1814",1858,,,,,,"William Shedden Burr was born on June 7, 1814 to David Judson Burr and Annabella Shedden Burr in Richmond, Virginia. He attended the Litchfield Female Academy in 1824. William married Laura Sanford Burr on December 7, 1853, and the couple had one child. After graduating from Yale in 1834 he worked as an iron manufacturer, and later lived in Geneva, New York. He passed away in 1858.","1824 Litchfield Female Academy Summer Session Catalogue (Vanderpoel, Emily Noyes. <I>More Chronicles of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The University Press, 1927).",,,,,,,,,,,"Laura Sandford Burr/December 7, 1853",,1824,,
3665,Laura Sandford Burr,,,F,,Geneva,NY,United States,,,,,,,,,,,,,,,,,,,,,,,,
3666,Elizabeth Burrall,,,F,,Canaan,CT,United States,,,,,,,,"Elizabeth Burrall was the daughter of Jonathon Burrall and Esther Boardman Burrall of Canaan, Connecticut. Elizabeth attended the Litchfield Female Academy in 1818.",'Catalogue of the Ladies Academy in Litchfield' 1818 by J.A. Shepard (Litchfield Historical Society - Litchfield Female Academy collection).,,"Goldthwaite, Charlotte. <I>Boardman Geneology, 1525-1895</I>. Anundsen Publishing Co., 1988.                                                                                   <br>Schroeder, John Frederick. <I>Memoir of the Life of Mrs. Mary Anna Boardman</I>. New Haven: Private Printing, 1849.",,,,,,,,,,,1818,Litchfield Female Academy Collection,
3667,Jonathon Burrall,,,M,,,,,"August 12, 1759","February 26, 1805",Graduated from Yale in 1781,,,,,,,,,,,,,,Business;Manufacturer,Canaan/CT/United States,,Esther Boardman Burrall/,,,,
3668,Esther Boardman Burrall,,,F,,,,,1762,"November 25, 1851",,,,,,,,,,,,,,,,,,,,,,
3669,Marcia Burton Spencer,,Marcia Content Burton,F,,Waterbury,CT,United States,"March 30, 1808",1887,,,,,,"Marcia Burton Spencer was born on March 30, 1808 to Joseph Burton and Susannah Bronson Burton in Waterbury, Connecticut. Marcia attended the Litchfield Female Academy in 1823. She married Willard Spencer of Waterbury, Connecticut on June 27, 1830, and they had five children together. Marcia passed away in 1887.","1823 Litchfield Female Academy Summer Session Catalogue (Vanderpoel, Emily Noyes. <I>More Chronicles of A Pioneer School From 1792 to 1833.</I> Cambridge, MA: The University Press, 1927).",,,,,,,,,Waterbury/CT/United States,,"Willard Spencer/June 27, 1830",,1823,,
3670,Willard Spencer,,,M,,Waterbury,CT,United States,,,,,,,,,,,,,,,,,Political Office,,,,,,,
3671,Joseph Burton,,,M,,,,,1779,"December 15, 1809",,,,,,,,,,,,,,,,,,Susannah Bronson Burton/,,,,
3672,Susannah Bronson Burton,,,F,,,,,1780,1811,,,,,,,,,,,,,,,,,,,,,,
3673,Catherine Busch,,,F,,Philadelphia,PA,United States,,,,,,,,"In 1820 Catherine Busch of Philadelphia, Pennsylvania attended the Litchfield Female Academy. Her full identity is not known at this time.","1820 Litchfield Female Academy Summer Session Catalogue (Vanderpoel, Emily Noyes. <I>More Chronicles of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The University Press, 1927).",,,,,,,,,,,,,1820,,
3674,Mary Bushnell Belden,,Mary Bushnell,F,,Washington,CT,United States,"August 21, 1807",,,,,,,"Mary Bushnell Belden was born on August 21, 1807 to ensign Bushnell and Dotha Bishop Bushnell of Washington, Connecticut. In 1826 Mary attended the Sarah Pierce's Female Academy in Litchfield, Connecticut. Little else is known about Mary's life except her marriage to Platt Belden of New Preston, Connecticut on September 24, 1829.","1826 Litchfield Female Academy Catalogue (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The University Press, 1903).",,,,,,,,,,,"Platt Belden/September 24, 1829",,1826,,
3675,Platt Belden,,,M,,New Preston,CT,United States,,,,,,,,,,,,,,,,,,,,,,,,
3676,Ensign Bushnell,,,M,,,,,"March 14, 1775",1862,,,,,,,,,,,,,,,,,,Dotha Bishop Bushnell/,,,,
3677,Dotha Bishop Bushnell,,,F,,,,,1784,1859,,,,,,,,,,,,,,,,,,,,,,
3678,Ann Butler,,,F,,Plymouth,CT,United States,"April 15, 1807",1826,,,,,,"Ann Butler was born on April 15, 1807 to Calvin Butler and Mordanna Phelps Butler in Plymouth, Connecticut. She attended the Litchfield Female Academy in 1821 and again in 1823. Ann died in 1826.","1821 Litchfield Female Academy Catalog Summer Session (Vanderpoel, Emiiy Noyes. <I>Chronicles of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The University Press, 1903).   <br>1823 Litchfield Female Academy Summer Session Catalogue (Vanderpoel, Emily Noyes. <I>More Chronicles of A Pioneer School From 1792 to 1833.</I> Cambridge, MA: The University Press, 1927).",,,,,,,,,,,,,"1821,1823",,
3679,Calvin Butler,,,M,,Waterbury,CT,United States,1772,"October 17, 1844",Attended Williams College for two years,,,,,,,,,,,,,,Lawyer;Political Office;Business;Other,Plymouth/CT/United States,,"Mordanna Phelps Butler/;Mary Ann Nicholson Butler/July 21, 1818",,,,
3680,Mordanna Phelps Butler,,,F,,,,,,"October 25, 1817",,,,,,,,,,,,,,,,Plymouth/CT/United States,,,,,,
3681,Emily H. Butler,,,F,,Tompkins,NY,United States,,,,,,,,"From 1816-1817 Emily H. Butler of Tompkins, New York attended the Litchfield Female Academy. No other information about her identity is available at this time.","1816 List of Subscribers in Ist Vol. 'Universal History' (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The Univeristy Press, 1903).   <br>Emily Butler is listed as a cousin and 'school friend' in Eliza Ogden's 1816-1818 diary (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The University Press, 1903).   <br>1816 Litchfield Female Academy Catalog (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The University Press, 1903).   <br>1817 Litchfield Female Academy Winter Session Catalogue (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The University Press, 1903).",,,,,,,,,,,,,1816-1817,,
3684,Harriet Butler,,,F,,Litchfield,CT,United States,"June 27, 1799","May 10, 1886",,,,,,"It is believed that Harriet Butler, daughter of Charles and Mary Thompson Butler of Litchfield, Connecticut may have attended the Litchfield Female Academy in 1814.    Harriet and husband Charles are believed to have had 3 children, one son (name unknown) and two daughters, Elizabeth and Mary.",[We are currently working to update and confirm citations of attendance.],,"Butler, Henry L. <A Href='http://books.google.com/books?id=jpAZAQAAMAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false'> Tales of Our Kinsfolk, Past and Present: The Story of Our Butler Ancestors. </a> Madison: University of Wisconsin, 1919. Google Books. Google, 10 Jan. 2011. Web. 13 Aug. 2013.","John Pierce Brace mentions Harriet Butler in his private journal for the year 1814. It is not clear if Harriet is a student at the Litchfield Female Academy however.    Henry Langdon Butler in his Tales of our Kinfolk (see references below, pg. 68) believes Harriet's birthday to be July 27, 1800.",,,,,,,,Charles Phelps/,,c.1814,,
3685,Charles Butler,,,M,,Kinderhook,NY,United States,"February 15, 1802","December 13, 1897","Attended Greenville Academy in Greene County, New York.",1824,"He first studied law with Martin Van Buren in Albany, New York in 1818. He then read the law in the office of Judge James Vanderpoel in 1821, and lastly with Peter Van Schaick.",,,"Charles Butler was born on February 15, 1802 in Kinderhook Landing, NY to Medad Butler and Hannah Tylee Butler. In 1825, he married Eliza Ogden in Walton New York.     Butler had followed his older brother, Benjamin Franklin Butler, into the practice of law. They both began their studies in the Albany office of Martin Van Buren. He explored Western territory, including Ohio and Indiana, and Illinois. He helped found the Protestant-Half Orphan Asylum and the Union Theological Seminary. He joined the council of New York University. Butler was a major donor to all three organizations. ",,,"Butler, William Allen; Butler, Willard Parker, <I>Book of the family and lineal descendants of Medad Butler, late of Stuyvesant, Columbia County, N.Y.</I>, 1915.  <BR>Stoddard, Francis Hovey <I>The life and letters of Charles Butler,</I> C. Scribner's sons, 1903.   ",,,,,,Lawyer;Political Office;Social Activist,Albany/NY/United States;Lyons/NY/United States;Geneva/NY/United States,State/Clerk/of State Senate/NY,"Eliza Ogden Butler/October 10, 1825",,,Charles Butler Papers;Papers of Charles Butler,
3686,Mary Thompson Butler,,Mehitable Butler,F,,,,,1773,,,,,,,"Only daughter of Lieut. William Thompson and Mehitable Ufford of Stratford and Ridgefield, CT. Baptized March 1773.",,,"Butler, Henry L. <A Href='http://books.google.com/books?id=jpAZAQAAMAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false'> Tales of Our Kinsfolk, Past and Present: The Story of Our Butler Ancestors. </a> Madison: University of Wisconsin, 1919. Google Books. Google, 10 Jan. 2011. Web. 13 Aug. 2013.",,,,,,,,,"Charles Butler (Litchfield, CT)/May 9, 1790",,,,
3687,Henry Butler,,,M,,Blanford,MA,United States,"January 17, 1806",1892,,,,,,"Henry Butler was born on January 17, 1806 to Henry Butler and Chloe Hinsdale Butler of Blandford, Massachusetts. He attended the Litchfield Female Academy in the years 1819 and 1820. On June 7, 1831, Henry wed Martha Hinsdale, and together they had ten children. Henry died in 1892.","1819 Litchfield Female Academy Summer Session Catalogue (Vanderpoel, Emily Noyes. <I>More Chronicles of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The University Press, 1927).   <br>1819 Litchfield Female Academy Winter Session Catalogue (Vanderpoel, Emily Noyes. <I>More Chronicles of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The University Press, 1927).   <br>1820 Litchfield Female Academy Winter Session Catalogue (Vanderpoel, Emily Noyes. <I>More Chronicles of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The University Press, 1927).   <br>A student wrote an inscription and signed their name 'H. Butler' in Jane R. Lewis's Album that she kept wihle attending the Female Academy - this student was possibly Henry (Litchfield Historical Society - Litchfield Female Academy collection).",,,,,,,,,,,"Martha Hinsdale Butler/June 7, 1831",,1819-1820,Litchfield Female Academy Collection,
3688,Martha Hinsdale Butler,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3689,Chloe Hinsdale Butler,,,F,,,,,1768,1824,,,,,,,,,,,,,,,,,,,,,,
3690,Maria Butler Perlee,,Maria Butler; Maria Perlee,F,,Litchfield,CT,United States,"September 8, 1791",,,,,,,"Maria Butler was the daughter of Litchfield businessman Charles Butler and Mary Thompson Butler. Maria was born on September 8, 1791. She attended the Litchfield Female Academy in 1802.","Maria is listed as a fellow student in Maryann Bacon's 1802 Journal (Litchfield Historical Society - Litchfield Female Academy collection).   <br>1802 Litchfield Female Academy Catalog (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The University Press, 1903).",,"Butler, Henry L. <A Href='http://books.google.com/books?id=jpAZAQAAMAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false'> Tales of Our Kinsfolk, Past and Present: The Story of Our Butler Ancestors. </a> Madison: University of Wisconsin, 1919. Google Books. Google, 10 Jan. 2011. Web. 13 Aug. 2013.",,,,,,,,,Abram Perlee/,,1802,Litchfield Female Academy Collection,
3691,Mary Butler,,,F,,Litchfield,CT,United States,"June 3, 1797",,,,,,,"Mary Butler was born to Charles Butler and Mary Thompson Butler on June 3, 1797. It is believed that Mary attended the Litchfield Female Academy in 1811.",[We are currently working to update and confirm citations of attendance.],,"Butler, Henry L. <A Href='http://books.google.com/books?id=jpAZAQAAMAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false'> Tales of Our Kinsfolk, Past and Present: The Story of Our Butler Ancestors. </a> Madison: University of Wisconsin, 1919. Google Books. Google, 10 Jan. 2011. Web. 13 Aug. 2013.","Primary sources for Mary Butler include a receipt to Miss Butler for tuition and school expenses, located in the Litchfield Female Academy collection, Series 2: Student Papers, Records, and Documents, Folder 24.",,,,,,,,"Theron Rudd/Jan 1, 1890",,c.1811,,
3692,Mary Ann Butler,,,F,,Northampton,MA,United States,Baptized 1803,,,,,,,"Mary Ann Butler, daughter of businessman Simeon Butler and his wife Mary Hunter Butler of Northampton, Massachusetts was baptized in 1803. She attended the Litchfield Female Academy in 1821 and in 1822.","1821 Litchfield Female Academy Catalog Summer Session (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 To 1933.</I> Cambridge, MA: The University Press, 1903).      <br>1822 Litchfield Female Academy Catalogue published in <I>The Litchfield Eagle</I> on November 25, 1822 (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The University Press, 1903).    <br>1822 Litchfield Female Academy Winter Session Catalogue (Vanderpoel, Emily Noyes. <I>More Chronicles of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The University Press, 1927).",,,,,,,,,,,,,1821-1822,,
3693,Simeon Butler,,,M,,,,,1770,1847 or 1848,,,,,,,,,,Simeon was a bookpublisher.,,,,,Business;Political Office;Other,,,Mary Hunt Butler/,,,,
3694,Mary Hunt Butler,,,F,,,,,1774,1829,,,,,,,,,,,,,,,,,,,,,,
3695,Mary P. Butler,,,F,,Plymouth,CT,United States,,,,,,,,"Mary P. Butler was, it is believed, the daughter of Calvin Butler and Mordanna Butler from Plymouth, Connecticut. Mary attedned the Litchfield Female Academy in 1819.","Mary wrote an inscription and signed her name in Adeline Mitchell's 2810 album that she kept while attending the Female Academy (Litchfield Historical Society - Litchfield Female Academy collection).   <br>1819 Litchfield Female Academy Summer Session Catalogue (Vanderpoel, Emily Noyes. <I>More Chronicles of A Pioneer School From 1792 to 1833.</I> Cambridge, MA: The University Press, 1927).",,,,,,,,,,,,,1819,Litchfield Female Academy Collection,
3696,Mordanna Butler,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3697,Nancy Butler,,,F,,Plymouth,CT,United States,,,,,,,,"Nancy Butler is believed to be the daughter of Calvin Butler and Mordanna Butler. Nancy was from Plymouth, Connecticut and may have attended the Litchfield Female Academy in 1819.","John Pierce Brace, 'History of My Poetry, Vol I' (Litchfield Historical Society - Litchfield Female Academy collection).",,,,,,,,,,,,,1819,Litchfield Female Academy Collection,
3698,Nancy Butler Hubbell (b. 1793),,Nancy Butler Frye,F,,Litchfield,CT,United States,"August 9, 1793",,,,,,,"Nancy Butler was born on August 9th, 1793 to businessman Charles Butler and Mary Thompson Butler of Litchfield, Connecticut. Nancy is believed to have attended the Litchfield Female Academy in 1808 and in 1809.",[We are currently working to update and confirm citations of attendance.],,"Butler, Henry L. <A Href='http://books.google.com/books?id=jpAZAQAAMAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false'> Tales of Our Kinsfolk, Past and Present: The Story of Our Butler Ancestors. </a> Madison: University of Wisconsin, 1919. Google Books. Google, 10 Jan. 2011. Web. 13 Aug. 2013.",,,,,,,,,Daniel Frye/;Hubbell/,,c.1808,,
3700,Adeline Cable,,,F,,New Milford,CT,United States,,,,,,,,"In 1819 Adeline Cable of New Milford, Connecticut attended the Litchfield Female Academy. Her full identity is not known at this time, however.","1819 Litchfield Female Academy Winter Session Catalogue (Vanderpoel, Emily Noyes. <I>More Chronicles of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The Universitiy Press, 1927).",,,,,,,,,,,,,1819,,
